top - 14:07:09 up 206 days,  4:35, 19 users,  load average: 9.93, 10.95, 11.39
Tasks: 1278 total,   5 running, 1272 sleeping,   0 stopped,   1 zombie
%Cpu(s): 29.8 us, 14.7 sy,  0.0 ni, 51.5 id,  4.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 39456400+total, 10969974+free, 34925868 used, 24993840+buff/cache
KiB Swap: 33554428 total, 32846192 free,   708236 used. 35313244+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 30439 alaooj    20   0  317392   3716   2844 S   0.0  0.0   0:00.05 gnome-keyring-d
 30451 alaooj    20   0 5302104 204972  73004 S   0.0  0.1   3:31.88 gnome-shell
 30537 alaooj    20   0  453128   5400   3356 S   0.0  0.0   0:03.11 ibus-daemon
 30541 alaooj    20   0  375968   3552   2944 S   0.0  0.0   0:00.01 ibus-dconf
 30543 alaooj    20   0  464808  13480   8700 S   0.0  0.0   0:00.07 ibus-x11
 30545 alaooj    20   0  375964   3348   2776 S   0.0  0.0   0:00.04 ibus-portal
 30556 alaooj    20   0  371456   3152   2564 S   0.0  0.0   0:00.00 xdg-permission-
 30559 alaooj    20   0  650092  11728   8936 S   0.0  0.0   0:00.07 gnome-shell-cal
 30566 alaooj    20   0 1444396  16368  11960 S   0.0  0.0   0:00.14 evolution-sourc
 30574 alaooj    20   0  893336  25172  19136 S   0.0  0.0   0:00.07 goa-daemon
 30581 alaooj    20   0  527716   8232   6184 S   0.0  0.0   0:08.22 goa-identity-se
 30593 alaooj    20   0  187524   2904   2320 S   0.0  0.0   0:00.10 dconf-service
 30598 alaooj    20   0  411668   7484   6112 S   0.0  0.0   0:00.90 mission-control
 30613 alaooj    20   0  416600   6248   4076 S   0.0  0.0   0:21.74 gvfs-udisks2-vo
 30623 alaooj    20   0  371692   3144   2572 S   0.0  0.0   0:00.01 gvfs-goa-volume
 30630 alaooj    20   0  400688   3624   2812 S   0.0  0.0   0:00.02 gvfs-gphoto2-vo
 30637 alaooj    20   0  478512   4376   3400 S   0.0  0.0   0:00.03 gvfs-afc-volume
 30645 alaooj    20   0  391600   3396   2708 S   0.0  0.0   0:00.02 gvfs-mtp-volume
 30676 alaooj    20   0  631660  14624   9512 S   0.0  0.0   0:01.11 gsd-power
 30678 alaooj    20   0  439192   5516   4180 S   0.0  0.0   0:00.13 gsd-print-notif
 30679 alaooj    20   0  538872   5304   2592 S   0.0  0.0   0:00.02 gsd-rfkill
 30680 alaooj    20   0  374184   2832   2300 S   0.0  0.0   0:00.01 gsd-screensaver
 30681 alaooj    20   0  559000   4208   3292 S   0.0  0.0   0:00.02 gsd-sharing
 30684 alaooj    20   0  455016   4724   3648 S   0.0  0.0   0:00.02 gsd-sound
 30689 alaooj    20   0  615256  14888   9560 S   0.0  0.0   0:00.12 gsd-xsettings
 30692 alaooj    20   0  549244  14008   8960 S   0.0  0.0   0:00.10 gsd-wacom
 30693 alaooj    20   0  472480   5060   4176 S   0.0  0.0   0:00.03 gsd-smartcard
 30696 alaooj    20   0  456820   3372   2760 S   0.0  0.0   0:00.02 gsd-account
 30711 alaooj    20   0  376492   3248   2672 S   0.0  0.0   0:00.01 gsd-a11y-settin
 30713 alaooj    20   0  464428  13280   8504 S   0.0  0.0   0:00.08 gsd-clipboard
 30717 alaooj    20   0  632124  14624   9488 S   0.0  0.0   0:35.22 gsd-color
 30721 alaooj    20   0  541556   8340   6288 S   0.0  0.0   0:00.02 gsd-datetime
 30723 alaooj    20   0  463516   6376   3380 S   0.0  0.0   1:15.51 gsd-housekeepin
 30727 alaooj    20   0  614128  13472   8596 S   0.0  0.0   0:00.08 gsd-keyboard
 30728 alaooj    20   0 1142908  15316   9968 S   0.0  0.0   0:00.96 gsd-media-keys
 30730 alaooj    20   0  376496   3228   2656 S   0.0  0.0   0:00.01 gsd-mouse
 30752 alaooj    20   0  608628   7784   5736 S   0.0  0.0   0:00.01 gsd-printer
 30779 alaooj    20   0 1307696  85840  20788 S   0.0  0.0   0:11.11 gnome-software
 30783 alaooj    20   0  273064   3536   2616 S   0.0  0.0   0:00.00 gsd-disk-utilit
 30784 alaooj    39  19  559040  10572   7472 S   0.0  0.0   0:00.14 tracker-miner-a
 30785 alaooj    39  19  723816  12524   8088 S   0.0  0.0   0:03.18 tracker-miner-f
 30790 alaooj    20   0  884940  28880  17472 S   0.0  0.0   0:00.74 nautilus-deskto
 30791 alaooj    39  19  562272   9856   7128 S   0.0  0.0   0:00.04 tracker-miner-u
 30805 alaooj    20   0  530052  16572  10812 S   0.0  0.0   0:00.06 abrt-applet
 30808 alaooj    39  19  661036  15312   7752 S   0.0  0.0   0:09.57 tracker-extract
 30810 alaooj    20   0  309988   9656   7088 S   0.0  0.0   0:00.01 seapplet
 30831 alaooj    20   0  526092  14524   6264 S   0.0  0.0   0:13.31 tracker-store
 30858 alaooj    20   0  464896   4748   3528 S   0.0  0.0   0:02.23 gvfsd-trash
 30874 alaooj    20   0  916708  16280  12092 S   0.0  0.0   0:00.05 evolution-calen
 30929 alaooj    20   0 1200648  15964  11796 S   0.0  0.0   0:00.09 evolution-calen
 30948 alaooj    20   0  903432  15708  11620 S   0.0  0.0   0:00.07 evolution-addre
 30959 alaooj    20   0 1185660  17264  12968 S   0.0  0.0   0:00.12 evolution-addre
 30971 alaooj    20   0  302300   3436   2852 S   0.0  0.0   0:00.01 ibus-engine-sim
 31014 alaooj    20   0  318056   3404   2608 S   0.0  0.0   0:00.03 gvfsd-metadata
 31061 alaooj    20   0  536092   3896   3028 S   0.0  0.0   0:00.01 gvfsd-burn
 31138 alaooj    20   0  735904  29068  16512 S   0.0  0.0   0:00.34 gnome-terminal-
 31145 alaooj    20   0    8536    716    588 S   0.0  0.0   0:00.00 gnome-pty-helpe
 31146 alaooj    20   0  116996   3408   1608 S   0.0  0.0   0:00.09 bash
 31214 alaooj    20   0 1033824  32920  19464 S   0.0  0.0   0:07.00 nautilus
 32287 root      20   0       0      0      0 S   0.0  0.0   0:01.36 kworker/6:2
 36402 root      20   0  417456   6080   4384 S   0.0  0.0   0:00.09 gdm-session-wor
 43609 root      20   0 1487192 276572   5272 S   0.0  0.1 227:04.58 backup_agent_ma
 45335 root      20   0  179832   5752   4348 S   0.0  0.0   0:00.58 sshd
 45380 muellej   20   0  179964   2740   1224 S   0.0  0.0   3:25.50 sshd
 45392 muellej   20   0  113284   1204   1028 S   0.0  0.0   0:00.03 sh
 45463 nx        20   0  622820  72684   6184 S   0.0  0.0   0:08.68 nxserver.bin
 45918 root       0 -20  148544   4404   3272 S   0.0  0.0   0:00.70 nxexec
 46077 muellej   20   0  671588   9352   6580 S   0.0  0.0   0:02.52 gnome-session-b
 46130 muellej   20   0 1523432   8368   4488 S   0.0  0.0  38:10.67 pulseaudio
 46136 muellej   20   0 1793504  29316  16224 S   0.0  0.0   0:15.89 nxclient.bin
 46267 muellej   20   0   58908    948    484 S   0.0  0.0   0:00.00 dbus-launch
 46272 muellej   20   0   79520   2664   1176 S   0.0  0.0   0:00.71 dbus-daemon
 46390 muellej   20   0  392028   4512   3532 S   0.0  0.0   0:00.04 imsettings-daem
 46396 muellej   20   0  388728   3964   3120 S   0.0  0.0   0:00.04 gvfsd
 46402 muellej   20   0  417824   3196   2612 S   0.0  0.0   0:00.00 gvfsd-fuse
 46463 muellej   20   0   72508    784      0 S   0.0  0.0   0:00.92 ssh-agent
 46962 muellej    0 -20  308692  37044   4792 S   0.0  0.0  19:36.97 nxcodec.bin
 47025 muellej   20   0  346820   5772   3080 S   0.0  0.0   0:00.02 at-spi-bus-laun
 47032 muellej   20   0   78576   2488   1868 S   0.0  0.0   0:00.31 dbus-daemon
 47036 muellej   20   0  233116   3928   3180 S   0.0  0.0   0:00.41 at-spi2-registr
 47108 muellej   20   0  538612   5900   2896 S   0.0  0.0   0:00.06 gnome-keyring-d
 47216 muellej   20   0  453104   5412   3356 S   0.0  0.0   4:02.32 ibus-daemon
 47220 muellej   20   0  375968   3548   2944 S   0.0  0.0   0:00.01 ibus-dconf
 47222 muellej   20   0  464812  13732   8872 S   0.0  0.0   2:56.59 ibus-x11
 47224 muellej   20   0  375964   3352   2776 S   0.0  0.0   0:00.04 ibus-portal
 47234 muellej   20   0  371456   3140   2564 S   0.0  0.0   0:00.00 xdg-permission-
 47240 muellej   20   0  650092  13760   8936 S   0.0  0.0   0:00.07 gnome-shell-cal
 47245 muellej   20   0 1444400  18368  11952 S   0.0  0.0   0:00.12 evolution-sourc
 47253 muellej   20   0  893336  25184  19132 S   0.0  0.0   0:00.09 goa-daemon
 47260 muellej   20   0  527716   8228   6184 S   0.0  0.0   0:10.53 goa-identity-se
 47272 muellej   20   0  187524   2912   2316 S   0.0  0.0   0:00.04 dconf-service
 47277 muellej   20   0  411668   7684   6232 S   0.0  0.0   0:01.29 mission-control
 47290 muellej   20   0  416836   6492   4080 S   0.0  0.0   0:25.59 gvfs-udisks2-vo
 47301 muellej   20   0  371556   3140   2576 S   0.0  0.0   0:00.01 gvfs-goa-volume
 47307 muellej   20   0  400688   7712   2812 S   0.0  0.0   0:00.02 gvfs-gphoto2-vo
 47314 muellej   20   0  478512   6420   3400 S   0.0  0.0   0:00.02 gvfs-afc-volume
 47322 muellej   20   0  391600   3380   2704 S   0.0  0.0   0:00.01 gvfs-mtp-volume
 47442 muellej   20   0  631712  15120   9548 S   0.0  0.0   0:01.55 gsd-power
 47444 muellej   20   0  439192   7548   4184 S   0.0  0.0   0:00.16 gsd-print-notif
 47445 muellej   20   0  538872   3268   2596 S   0.0  0.0   0:00.02 gsd-rfkill
 47446 muellej   20   0  374184   2836   2300 S   0.0  0.0   0:00.01 gsd-screensaver
 47447 muellej   20   0  559000   4204   3288 S   0.0  0.0   0:00.03 gsd-sharing
 47450 muellej   20   0  472480   7100   4176 S   0.0  0.0   0:00.05 gsd-smartcard
 47455 muellej   20   0  455016   4716   3648 S   0.0  0.0   0:00.02 gsd-sound
 47458 muellej   20   0  615256  14988   9620 S   0.0  0.0   0:00.21 gsd-xsettings
 47465 muellej   20   0  456820   3400   2764 S   0.0  0.0   0:00.08 gsd-account
 47466 muellej   20   0  549256  16352   9016 S   0.0  0.0   0:00.16 gsd-wacom
 47476 muellej   20   0  464420  13280   8516 S   0.0  0.0   0:00.13 gsd-clipboard
 47477 muellej   20   0  376492   3240   2668 S   0.0  0.0   0:00.02 gsd-a11y-settin
 47478 muellej   20   0  463516   4296   3380 S   0.0  0.0   1:34.23 gsd-housekeepin
 47479 muellej   20   0  779580  17220   9528 S   0.0  0.0   0:47.37 gsd-color
 47482 muellej   20   0  541556   8368   6284 S   0.0  0.0   0:00.01 gsd-datetime
 47486 muellej   20   0  376496   5360   2648 S   0.0  0.0   0:00.02 gsd-mouse
 47490 muellej   20   0  614144  13656   8684 S   0.0  0.0   0:00.16 gsd-keyboard
 47491 muellej   20   0 1003760  17648  10160 S   0.0  0.0   0:01.47 gsd-media-keys
 47509 muellej   20   0  608628   7764   5736 S   0.0  0.0   0:00.02 gsd-printer
 47540 muellej   20   0  309872   9588   7148 S   0.0  0.0   0:00.03 seapplet
 47541 muellej   39  19  847136  10828   7500 S   0.0  0.0  41:14.80 tracker-miner-a
 47542 muellej   39  19 1410848  28008   8468 S   0.0  0.0   1396:49 tracker-miner-f
 47544 muellej   39  19  776688   9952   7128 S   0.0  0.0   0:01.29 tracker-miner-u
 47549 muellej   20   0  273064   3536   2616 S   0.0  0.0   0:00.00 gsd-disk-utilit
 47557 muellej   20   0 1379616  84820  21212 S   0.0  0.0   0:12.86 gnome-software
 47562 muellej   20   0 1363060  36512  20652 S   0.0  0.0   0:02.25 nautilus-deskto
 47567 muellej   20   0  530252  18860  10864 S   0.0  0.0   0:00.13 abrt-applet
 47575 muellej   39  19 1490036  27192  12828 S   0.0  0.0 745:54.29 tracker-extract
 47577 muellej   20   0  916712  16272  12084 S   0.0  0.0   0:00.04 evolution-calen
 47610 muellej   20   0  464900   4676   3464 S   0.0  0.0   0:02.85 gvfsd-trash
 47646 muellej   20   0 1135112  17940  11768 S   0.0  0.0   0:00.09 evolution-calen
 47698 muellej   20   0  903432  17752  11620 S   0.0  0.0   0:00.06 evolution-addre
 47715 muellej   20   0 1185660  17252  12960 S   0.0  0.0   0:00.13 evolution-addre
 47740 muellej   20   0  462360   3860   3028 S   0.0  0.0   0:00.02 gvfsd-burn
 47746 muellej   20   0  302300   3436   2852 S   0.0  0.0   0:00.21 ibus-engine-sim
 47793 muellej   20   0  318032   5480   2676 S   0.0  0.0   0:00.07 gvfsd-metadata
 48028 farleik   20   0  113284   1204   1036 S   0.0  0.0   0:00.02 sh
 48063 nx        20   0  697232  73408   6164 S   0.0  0.0   1:02.30 nxserver.bin
 48262 muellej   20   0  758044  38376  18504 S   0.0  0.0   4:19.85 gnome-terminal-
 48269 muellej   20   0    8536    732    600 S   0.0  0.0   0:00.01 gnome-pty-helpe
 48270 muellej   20   0  120440   7052   1808 S   0.0  0.0   0:00.39 bash
 48776 root       0 -20  148544   4400   3272 S   0.0  0.0   0:00.31 nxexec
 48805 farleik    0 -20 3266792 402268 113868 S   0.0  0.1  54:40.27 nxnode.bin
 48977 farleik   20   0  673712  11596   6680 S   0.0  0.0   0:21.49 gnome-session-b
 49053 farleik   20   0 1261420   6360   4464 S   0.0  0.0  18:38.69 pulseaudio
 49071 farleik   20   0 1801716  27832  16312 S   0.0  0.0   1:16.07 nxclient.bin
 49288 farleik   20   0   58908    956    484 S   0.0  0.0   0:00.00 dbus-launch
 49290 farleik   20   0   79564   2776   1176 S   0.0  0.0   0:06.43 dbus-daemon
 49415 farleik   20   0  391916   6400   3508 S   0.0  0.0   0:00.04 imsettings-daem
 49425 farleik   20   0  388740   3984   3124 S   0.0  0.0   0:00.18 gvfsd
 49432 farleik   20   0  417824   3196   2608 S   0.0  0.0   0:00.00 gvfsd-fuse
 49473 muellej   20   0  120280   6804   1676 S   0.0  0.0   0:00.13 bash
 49674 farleik   20   0   72508    916    132 S   0.0  0.0   0:08.93 ssh-agent
 49785 farleik   20   0  346824   3636   3036 S   0.0  0.0   0:00.01 at-spi-bus-laun
 49791 farleik   20   0   78580   2516   1868 S   0.0  0.0   0:03.86 dbus-daemon
 49797 farleik   20   0  233116   6228   3328 S   0.0  0.0   0:08.82 at-spi2-registr
 49839 farleik   20   0  317392   3724   2852 S   0.0  0.0   0:00.19 gnome-keyring-d
 49858 farleik   20   0 5391180 319732  76864 S   0.0  0.1 297:53.55 gnome-shell
 50125 grindlm   20   0  470388   5144   3724 S   0.0  0.0   0:22.76 pulseaudio
 50415 farleik   20   0  453104   5496   3364 S   0.0  0.0   0:41.37 ibus-daemon
 50419 farleik   20   0  375968   5600   2944 S   0.0  0.0   0:00.01 ibus-dconf
 50421 farleik   20   0  464812  13776   8868 S   0.0  0.0   0:01.96 ibus-x11
 50423 farleik   20   0  375964   3348   2776 S   0.0  0.0   0:00.08 ibus-portal
 50434 farleik   20   0  371456   3140   2564 S   0.0  0.0   0:00.01 xdg-permission-
 50438 farleik   20   0  650092  11728   8936 S   0.0  0.0   0:00.62 gnome-shell-cal
 50444 farleik   20   0 1444436  16548  11972 S   0.0  0.0   0:00.29 evolution-sourc
 50452 farleik   20   0  893332  25168  19132 S   0.0  0.0   0:00.08 goa-daemon
 50459 farleik   20   0  527716   8232   6184 S   0.0  0.0   1:43.58 goa-identity-se
 50470 farleik   20   0  187524   2920   2316 S   0.0  0.0   0:02.22 dconf-service
 50478 farleik   20   0  411668   7676   6232 S   0.0  0.0   0:08.14 mission-control
 50488 farleik   20   0  422192  11920   4092 S   0.0  0.0   3:37.24 gvfs-udisks2-vo
 50501 farleik   20   0  371692   3140   2572 S   0.0  0.0   0:00.04 gvfs-goa-volume
 50507 farleik   20   0  400688   3624   2812 S   0.0  0.0   0:00.04 gvfs-gphoto2-vo
 50514 farleik   20   0  478512   4380   3400 S   0.0  0.0   0:00.11 gvfs-afc-volume
 50522 farleik   20   0  391600   3380   2704 S   0.0  0.0   0:00.04 gvfs-mtp-volume
 50600 hayespj   20   0  453308   5644   3360 S   0.0  0.0   5:09.52 ibus-daemon
 50755 farleik   20   0  631716  15960   9564 S   0.0  0.0   0:11.81 gsd-power
 50804 farleik   20   0  439192   5600   4216 S   0.0  0.0   0:01.58 gsd-print-notif
 50805 farleik   20   0  538872   3264   2596 S   0.0  0.0   0:00.12 gsd-rfkill
 50813 farleik   20   0  374184   2836   2300 S   0.0  0.0   0:00.11 gsd-screensaver
 50814 farleik   20   0  559000   4476   3536 S   0.0  0.0   0:00.13 gsd-sharing
 50822 farleik   20   0  455016   4724   3652 S   0.0  0.0   0:00.12 gsd-sound
 50837 farleik   20   0  615248  14952   9624 S   0.0  0.0   0:00.93 gsd-xsettings
 50842 farleik   20   0  549252  15112   9016 S   0.0  0.0   0:00.70 gsd-wacom
 50848 farleik   20   0  472476   5068   4184 S   0.0  0.0   0:00.15 gsd-smartcard
 50851 farleik   20   0  456820   3384   2764 S   0.0  0.0   0:00.48 gsd-account
 50885 farleik   20   0  376492   3244   2672 S   0.0  0.0   0:00.12 gsd-a11y-settin
 50887 farleik   20   0  464420  13272   8512 S   0.0  0.0   0:00.59 gsd-clipboard
 50898 farleik   20   0  783328  19516   9404 S   0.0  0.0  26:52.41 gsd-color
 50903 farleik   20   0  541556   8356   6280 S   0.0  0.0   0:00.13 gsd-datetime
 50904 farleik   20   0  463632   6624   3384 S   0.0  0.0  13:41.85 gsd-housekeepin
 50905 farleik   20   0  614140  13504   8616 S   0.0  0.0   0:00.69 gsd-keyboard
 50911 farleik   20   0  930028  15716  10220 S   0.0  0.0   0:09.40 gsd-media-keys
 50915 farleik   20   0  376496   3304   2652 S   0.0  0.0   0:00.12 gsd-mouse
 50935 farleik   20   0  608628   7768   5736 S   0.0  0.0   0:00.13 gsd-printer
 50981 farleik   20   0 1379084 113736  21232 S   0.0  0.0   1:37.41 gnome-software
 50986 farleik   20   0  273064   3536   2616 S   0.0  0.0   0:00.01 gsd-disk-utilit
 50987 farleik   39  19  632512  10708   7500 S   0.0  0.0   0:00.20 tracker-miner-a
 50989 farleik   39  19  649320  11640   8120 S   0.0  0.0   0:17.25 tracker-miner-f
 50999 farleik   20   0 1095996  31336  18584 S   0.0  0.0   0:10.81 nautilus-deskto
 51004 farleik   39  19  562012   9860   7128 S   0.0  0.0   0:00.03 tracker-miner-u
 51007 farleik   20   0  729712  31412   6288 S   0.0  0.0   0:05.36 tracker-store
 51030 farleik   20   0  530252  16816  10860 S   0.0  0.0   0:00.43 abrt-applet
 51033 farleik   39  19  738144  15048   7916 S   0.0  0.0   0:29.55 tracker-extract
 51034 farleik   20   0  309868   9584   7140 S   0.0  0.0   0:00.07 seapplet
 51059 farleik   20   0  559076   7752   4080 S   0.0  0.0   0:28.05 gvfsd-trash
 51127 farleik   20   0  916712  16288  12080 S   0.0  0.0   0:00.05 evolution-calen
 51157 farleik   20   0 1200648  16280  11804 S   0.0  0.0   0:00.57 evolution-calen
 51175 farleik   20   0  903432  15708  11620 S   0.0  0.0   0:00.07 evolution-addre
 51190 farleik   20   0 1185660  17244  12956 S   0.0  0.0   0:00.23 evolution-addre
 51200 farleik   20   0  302300   3800   2968 S   0.0  0.0   0:02.58 ibus-engine-sim
 51295 farleik   20   0  462360   3864   3028 S   0.0  0.0   0:00.03 gvfsd-burn
 51720 farleik   20   0  319592   4860   2716 S   0.0  0.0   0:04.28 gvfsd-metadata
 55975 root      20   0  718036  69776  67968 S   0.0  0.0 520:21.92 rsyslogd
 62645 farleik   20   0  768844  36280  20452 S   0.0  0.0   0:55.92 gnome-terminal-
 62657 farleik   20   0    8536    716    588 S   0.0  0.0   0:00.00 gnome-pty-helpe
 62658 farleik   20   0  116992   3496   1676 S   0.0  0.0   0:00.07 bash
 63400 hagenjd2  20   0  116864   3396   1680 S   0.0  0.0   0:00.10 bash
 63489 hagenjd2  20   0   45644   3060   2080 S   0.0  0.0   0:00.02 qsub
 63496 hagenjd2  20   0   45644    992      0 S   0.0  0.0   0:00.00 qsub
 63497 hagenjd2  20   0   46448   2248    452 S   0.0  0.0   3:28.40 qsub
 63532 tiltonns  20   0  113284   1204   1036 S   0.0  0.0   0:00.03 sh
 63577 nx        20   0  697144  73312   6192 S   0.0  0.0   0:04.75 nxserver.bin
 63734 root       0 -20  148544   4428   3300 S   0.0  0.0   0:00.74 nxexec
 63791 tiltonns   0 -20 3134104 216212  74688 S   0.0  0.1   9:16.38 nxnode.bin
 63875 tiltonns  20   0  673712   9476   6664 S   0.0  0.0   0:01.38 gnome-session-b
 63925 tiltonns  20   0 1261272   6072   4248 S   0.0  0.0   2:05.80 pulseaudio
 63937 tiltonns  20   0 1727168  25836  15964 S   0.0  0.0   0:04.43 nxclient.bin
 64007 tiltonns  20   0   58908    952    484 S   0.0  0.0   0:00.00 dbus-launch
 64010 tiltonns  20   0   58908    692    268 S   0.0  0.0   0:00.00 dbus-launch
 64011 tiltonns  20   0   78448   1268    776 S   0.0  0.0   0:00.01 dbus-daemon
 64012 tiltonns  20   0   79548   2696   1176 S   0.0  0.0   0:01.74 dbus-daemon
 64103 tiltonns  20   0  391916   4216   3480 S   0.0  0.0   0:00.04 imsettings-daem
 64125 tiltonns  20   0  388756   4028   3124 S   0.0  0.0   0:00.07 gvfsd
 64135 tiltonns  20   0  417824   3196   2612 S   0.0  0.0   0:00.01 gvfsd-fuse
 64192 tiltonns  20   0   72508    780      0 S   0.0  0.0   0:00.44 ssh-agent
 64305 tiltonns  20   0  346820   3732   3080 S   0.0  0.0   0:00.02 at-spi-bus-laun
 64310 tiltonns  20   0   78580   2496   1872 S   0.0  0.0   0:00.73 dbus-daemon
 64313 tiltonns  20   0  233120   4068   3304 S   0.0  0.0   0:01.91 at-spi2-registr
 64337 tiltonns  20   0  317392   3716   2844 S   0.0  0.0   0:00.05 gnome-keyring-d
 64349 tiltonns  20   0 5420552 263848  82192 S   0.0  0.1  39:47.87 gnome-shell
 64485 tiltonns  20   0  453128   5376   3344 S   0.0  0.0   0:01.98 ibus-daemon
 64494 tiltonns  20   0  375968   3552   2944 S   0.0  0.0   0:00.02 ibus-dconf
 64496 tiltonns  20   0  464808  13476   8696 S   0.0  0.0   0:00.21 ibus-x11
 64498 tiltonns  20   0  375964   3348   2776 S   0.0  0.0   0:00.04 ibus-portal
 64507 tiltonns  20   0  371456   3140   2564 S   0.0  0.0   0:00.00 xdg-permission-
 64514 tiltonns  20   0  649964  11732   8936 S   0.0  0.0   0:00.08 gnome-shell-cal
 64519 tiltonns  20   0 1444404  16376  11960 S   0.0  0.0   0:00.11 evolution-sourc
 64527 tiltonns  20   0  893332  25168  19132 S   0.0  0.0   0:00.08 goa-daemon
 64534 tiltonns  20   0  527716   8160   6120 S   0.0  0.0   0:03.91 goa-identity-se
 64547 tiltonns  20   0  187524   2908   2316 S   0.0  0.0   0:00.26 dconf-service
 64553 tiltonns  20   0  411796   7652   6212 S   0.0  0.0   0:00.61 mission-control
 64565 tiltonns  20   0  416336   5988   4080 S   0.0  0.0   0:12.65 gvfs-udisks2-vo
 64575 tiltonns  20   0  371556   3144   2572 S   0.0  0.0   0:00.01 gvfs-goa-volume
 64582 tiltonns  20   0  400688   3628   2812 S   0.0  0.0   0:00.01 gvfs-gphoto2-vo
 64590 tiltonns  20   0  478512   4376   3400 S   0.0  0.0   0:00.01 gvfs-afc-volume
 64597 tiltonns  20   0  391600   3380   2704 S   0.0  0.0   0:00.01 gvfs-mtp-volume
 64618 tiltonns  20   0  631640  14828   9544 S   0.0  0.0   0:00.91 gsd-power
 64620 tiltonns  20   0  439192   5516   4188 S   0.0  0.0   0:00.12 gsd-print-notif
 64621 tiltonns  20   0  538872   3272   2596 S   0.0  0.0   0:00.04 gsd-rfkill
 64622 tiltonns  20   0  374184   2832   2300 S   0.0  0.0   0:00.03 gsd-screensaver
 64623 tiltonns  20   0  559000   4208   3288 S   0.0  0.0   0:00.05 gsd-sharing
 64626 tiltonns  20   0  455016   4728   3652 S   0.0  0.0   0:00.05 gsd-sound
 64631 tiltonns  20   0  615268  14960   9612 S   0.0  0.0   0:00.33 gsd-xsettings
 64633 tiltonns  20   0  549244  14020   8968 S   0.0  0.0   0:00.24 gsd-wacom
 64637 tiltonns  20   0  472480   5056   4172 S   0.0  0.0   0:00.07 gsd-smartcard
 64639 tiltonns  20   0  456820   3376   2764 S   0.0  0.0   0:00.07 gsd-account
 64654 tiltonns  20   0  376492   3244   2672 S   0.0  0.0   0:00.04 gsd-a11y-settin
 64657 tiltonns  20   0  464424  13284   8512 S   0.0  0.0   0:00.22 gsd-clipboard
 64659 tiltonns  20   0  632036  14612   9380 S   0.0  0.0   0:15.93 gsd-color
 64661 tiltonns  20   0  541556   8344   6300 S   0.0  0.0   0:00.05 gsd-datetime
 64664 tiltonns  20   0  463648   4508   3396 S   0.0  0.0   0:43.80 gsd-housekeepin
 64665 tiltonns  20   0  614236  13540   8680 S   0.0  0.0   0:00.23 gsd-keyboard
 64668 tiltonns  20   0  995424  15192   9912 S   0.0  0.0   0:00.77 gsd-media-keys
 64672 tiltonns  20   0  376496   3332   2664 S   0.0  0.0   0:00.04 gsd-mouse
 64693 tiltonns  20   0  608628   7764   5740 S   0.0  0.0   0:00.01 gsd-printer
 64721 tiltonns  20   0 1373848  82476  20788 S   0.0  0.0   0:08.19 gnome-software
 64725 tiltonns  20   0  273064   3540   2620 S   0.0  0.0   0:00.00 gsd-disk-utilit
 64726 tiltonns  39  19  632520  10636   7468 S   0.0  0.0   0:00.05 tracker-miner-a
 64728 tiltonns  39  19  993428  12080   8192 S   0.0  0.0   0:00.38 tracker-miner-f
 64732 tiltonns  20   0  884060  27932  17264 S   0.0  0.0   0:01.25 nautilus-deskto
 64736 tiltonns  39  19  562012   9860   7128 S   0.0  0.0   0:00.03 tracker-miner-u
 64747 tiltonns  20   0  529964  16568  10804 S   0.0  0.0   0:00.18 abrt-applet
 64749 tiltonns  39  19  812400  11900   8044 S   0.0  0.0   0:03.90 tracker-extract
 64753 tiltonns  20   0  309984   9648   7084 S   0.0  0.0   0:00.01 seapplet
 64773 tiltonns  20   0  723212  16620   6104 S   0.0  0.0   0:00.84 tracker-store
 64796 tiltonns  20   0  538628   4776   3520 S   0.0  0.0   0:01.26 gvfsd-trash
 64861 tiltonns  20   0  916712  16264  12084 S   0.0  0.0   0:00.09 evolution-calen
 64874 tiltonns  20   0 1200648  15968  11800 S   0.0  0.0   0:00.11 evolution-calen
 64887 farleik   20   0   45644   3056   2080 S   0.0  0.0   0:00.08 qsub
 64896 tiltonns  20   0  903432  15700  11608 S   0.0  0.0   0:00.06 evolution-addre
 64918 tiltonns  20   0  302300   3448   2864 S   0.0  0.0   0:00.00 ibus-engine-sim
 64933 tiltonns  20   0 1185660  17256  12964 S   0.0  0.0   0:00.10 evolution-addre
 64944 farleik   20   0   45644   1164    176 S   0.0  0.0   0:05.69 qsub
 64946 farleik   20   0   46448   1984    204 S   0.0  0.0   0:00.00 qsub
 64980 tiltonns  20   0  317984   3400   2672 S   0.0  0.0   0:00.25 gvfsd-metadata
 64988 tiltonns  20   0  536092   3892   3032 S   0.0  0.0   0:00.01 gvfsd-burn
 65168 tiltonns  20   0  746132  30280  17384 S   0.0  0.0   0:01.45 gnome-terminal-
 65176 tiltonns  20   0    8536    712    584 S   0.0  0.0   0:00.00 gnome-pty-helpe
 65177 tiltonns  20   0  116864   3352   1640 S   0.0  0.0   0:00.10 bash
 65248 tiltonns  20   0   45644   3064   2084 S   0.0  0.0   0:00.02 qsub
 65256 tiltonns  20   0   45644    996      0 S   0.0  0.0   0:00.00 qsub
 65257 tiltonns  20   0   46448   2248    448 S   0.0  0.0   0:10.36 qsub
